number,state,created,closed,component,type,root_cause,severity,affected_release,resolution,confidence,note
604,CLOSED,2026-03-29,2026-04-13,storage-cas,enhancement,n/a,none,no,fixed,high,"Expand presigned URLs/streaming to reduce in-memory artifact buffering"
608,CLOSED,2026-03-30,2026-04-01,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"SSO login unconditionally resets is_admin to false, overwriting admin grants"
610,CLOSED,2026-03-30,2026-04-01,format-pypi,defect,path-normalization,wrong-result,yes,fixed,high,"PyPI remote mishandles relative artifact URLs (e.g. Nexus), no rewrite/fetch"
611,CLOSED,2026-03-30,2026-03-31,format-cargo,defect,format-compat,wrong-result,yes,fixed,high,"Cargo remote index works but crate download returns 404 Artifact not found upstream"
612,CLOSED,2026-03-31,2026-04-01,format-oci-docker,question,n/a,none,no,not-a-bug,high,"User asks status of Docker/Helm remote support given conflicting docs"
613,CLOSED,2026-03-31,2026-04-01,storage-cas,defect,upstream-dependency,outage-oom,yes,fixed,high,"object_store migration broke ECS Fargate task role creds, hits IMDS and times out"
616,CLOSED,2026-03-31,2026-04-01,format-npm,defect,format-compat,wrong-result,yes,fixed,high,"NPM remote does not URL-encode scoped package name upstream, 404 on private registries"
624,CLOSED,2026-04-01,2026-04-01,proxy-remote,defect,db-schema-query,wrong-result,yes,fixed,high,"Remote repos show 0 storage used and list no cached packages despite cached files"
625,CLOSED,2026-04-01,2026-04-01,virtual-repo,defect,cache-correctness,degraded,yes,fixed,med,"PyPI remote handled differently via virtual; virtual always queries upstream before cache"
631,CLOSED,2026-04-02,2026-04-04,format-debian-rpm,defect,format-compat,wrong-result,yes,fixed,high,"APK remote returns empty APKINDEX.tar.gz, apk update reports BAD signature"
640,CLOSED,2026-04-02,2026-04-04,format-maven,defect,db-schema-query,wrong-result,yes,fixed,high,"Remote maven artifacts have no version field set, blank version in UI"
641,CLOSED,2026-04-02,2026-04-12,proxy-remote,enhancement,n/a,none,no,fixed,med,"Request to group maven remote artifact files by component in repo listing"
643,CLOSED,2026-04-02,2026-04-04,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"PyPI virtual repo ignores local members, 404s on simple metadata listing"
645,CLOSED,2026-04-03,2026-04-04,other,feature,n/a,none,no,wontfix,med,"Unsolicited external offer of a hosted status page for AK"
649,CLOSED,2026-04-04,2026-04-04,format-npm,defect,format-compat,wrong-result,yes,fixed,high,"npm install via proxy returns ENOVERSIONS for abbreviated metadata while virtual works"
651,CLOSED,2026-04-06,2026-04-07,format-go,defect,format-compat,wrong-result,yes,fixed,high,"go get via remote fails on sumdb path, Invalid GOPROXY path 400 Bad Request"
652,CLOSED,2026-04-06,2026-04-07,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"Virtual npm repo returns 404 for metadata of local member packages"
653,CLOSED,2026-04-06,2026-04-09,format-debian-rpm,defect,format-compat,wrong-result,yes,fixed,high,"APK remote returns HTTP 500 when serving packages across multiple alpine versions"
654,CLOSED,2026-04-06,2026-04-09,migration-import,defect,error-handling,degraded,yes,fixed,med,"Nexus migration assessment stalls indefinitely in 'assessing' status"
655,CLOSED,2026-04-07,2026-04-07,auth-rbac-sso,defect,config-error,wrong-result,yes,fixed,high,"OIDC redirect_uri built as relative path behind proxy, Keycloak rejects callback"
660,CLOSED,2026-04-07,2026-04-09,format-maven,defect,format-compat,degraded,yes,fixed,high,"Maven remote proxy does not serve checksums, client warns no checksums available"
662,CLOSED,2026-04-08,2026-04-12,proxy-remote,feature,n/a,none,no,fixed,med,"Request for routing policy support for raw/remote repos like Nexus"
664,CLOSED,2026-04-09,2026-04-13,sbom-scanning,defect,data-integrity,wrong-result,yes,fixed,high,"CVE finding shows GHSA id labeled as CVE, producing broken NVD links"
665,CLOSED,2026-04-09,2026-04-13,ui-web,defect,ui-bug,cosmetic,yes,fixed,high,"Deleted user's service account stays visible in UI until hard refresh (stale frontend cache)"
671,CLOSED,2026-04-09,2026-04-12,migration-import,defect,performance-scaling,data-loss,yes,fixed,high,"Artifactory migration only transfers first 100 artifacts; pagination offset/limit not iterated"
674,CLOSED,2026-04-10,2026-04-13,format-debian-rpm,defect,format-compat,wrong-result,yes,fixed,high,"APT remote does not proxy InRelease/Release files; apt update fails, no short metadata TTL"
675,CLOSED,2026-04-10,2026-04-13,format-generic,defect,error-handling,degraded,yes,fixed,med,"Download of stored generic artifact returns 404 'Artifact not found' / No file in UI"
676,CLOSED,2026-04-10,2026-04-12,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: per-repository access token config managed by repo admins"
677,CLOSED,2026-04-10,2026-04-12,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: advanced configurable password policies (checklist + regex) for local users"
678,CLOSED,2026-04-10,2026-04-12,config-deploy,feature,n/a,none,no,fixed,high,"Request: configurable DB connection/pool options via environment variables"
679,CLOSED,2026-04-10,2026-04-16,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: configurable password expiry notifications for local users"
680,CLOSED,2026-04-10,2026-04-12,rate-limiting,feature,n/a,none,no,fixed,high,"Request: configurable token-bucket rate limiting with burst and user exemptions"
681,CLOSED,2026-04-10,2026-04-13,config-deploy,feature,n/a,none,no,fixed,high,"Request: configurable external SMTP server for sending emails to users"
682,CLOSED,2026-04-10,2026-04-13,webhooks,feature,n/a,none,no,fixed,high,"Request: configurable webhook payload templates per chat platform (Slack/Mattermost/etc)"
683,CLOSED,2026-04-10,2026-04-12,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: force password change on next login for local users"
684,CLOSED,2026-04-10,2026-04-12,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: limit failed login attempts and lock local user accounts"
685,CLOSED,2026-04-10,2026-04-12,virtual-repo,feature,n/a,none,no,fixed,high,"Request: link staging to release repos to enforce controlled promotion paths"
686,CLOSED,2026-04-10,2026-04-13,webhooks,feature,n/a,none,no,fixed,high,"Request: per-repository notification config (mail/webhook) tab with trigger events"
687,CLOSED,2026-04-10,2026-04-12,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: configurable password expiration for local users"
688,CLOSED,2026-04-10,2026-04-12,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request: track password history to prevent reuse of recent passwords"
689,CLOSED,2026-04-10,2026-04-13,ui-web,defect,ui-bug,cosmetic,yes,fixed,high,"Security Dashboard table shows repository ID instead of name with clickable link"
691,CLOSED,2026-04-10,2026-04-25,ci-cd-release,dependency,n/a,none,yes,fixed,high,"Track bergshamra 0.4.x/wasmtime 36 upgrades; kryptering Windows CK_ULONG From<u64> build failure"
692,CLOSED,2026-04-11,2026-04-13,ci-cd-release,defect,concurrency-race,degraded,yes,fixed,med,"Stress test: high-concurrency error rate >20%; concurrent create-repo races, blocks release-gate"
708,CLOSED,2026-04-12,2026-04-12,sbom-scanning,defect,config-error,wrong-result,yes,fixed,high,"Trivy/Grype archive extraction fails (missing tar binary) causing scans to fail open with 0 findings"
709,CLOSED,2026-04-12,2026-04-12,proxy-remote,feature,n/a,none,no,fixed,high,"Request: quarantine policy to block remote packages released less than X time ago (supply-chain)"
722,CLOSED,2026-04-13,2026-04-15,format-npm,defect,data-integrity,wrong-result,yes,fixed,high,"npm .tgz cached as application/octet-stream not gzip; breaks SBOM gen and security scans"
723,CLOSED,2026-04-13,2026-04-15,sbom-scanning,defect,error-handling,security,yes,fixed,high,"Failed scans recorded as clean/0-findings in UI, masking extraction errors (fail-open)"
724,CLOSED,2026-04-13,2026-04-13,ci-cd-release,automated-report,n/a,none,unknown,fixed,high,"Weekly Trivy container scan: 80 CRITICAL/HIGH findings with fixes available"
729,CLOSED,2026-04-13,2026-04-21,observability,enhancement,upstream-dependency,degraded,yes,fixed,high,"OTLP gRPC exporter fails behind Envoy (h2 FRAME_SIZE_ERROR); no http/protobuf protocol fallback"
731,CLOSED,2026-04-14,2026-04-15,format-cargo,defect,format-compat,wrong-result,yes,fixed,med,"Single Cargo remote cannot satisfy both cargo add (index) and cargo fetch; needs index+crates split"
732,CLOSED,2026-04-14,2026-04-14,ci-cd-release,defect,build-ci,degraded,yes,fixed,high,"web 1.1.0 Docker image missing amd64 architecture in multi-arch manifest"
734,CLOSED,2026-04-14,2026-04-16,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Request to allow anonymous/no-auth pull-through caching for public remote repos"
735,CLOSED,2026-04-14,2026-04-16,storage-cas,defect,inv-lifecycle-gc,degraded,yes,fixed,high,"GC blob delete on Huawei OBS S3 fails with 405 on bulk-delete POST; orphan blobs not removed"
736,CLOSED,2026-04-15,2026-04-15,backup-dr,defect,db-schema-query,degraded,yes,fixed,high,"Backups fail: relation download_stats does not exist (missing table/migration)."
737,CLOSED,2026-04-15,2026-04-15,proxy-remote,defect,inv-streaming,outage-oom,yes,fixed,high,"OOM under parallel proxy requests; get_cached_artifact buffers whole file in memory."
738,CLOSED,2026-04-15,2026-04-16,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Filter repository list/get by user permissions for non-admin users."
741,CLOSED,2026-04-15,2026-04-15,ci-cd-release,refactor,n/a,none,no,fixed,high,"Implement Default for Config to eliminate test duplication across files."
744,CLOSED,2026-04-15,2026-04-15,format-oci-docker,defect,auth-logic,degraded,yes,fixed,high,"Public/unauthenticated Docker repo still requires auth to pull."
745,CLOSED,2026-04-15,2026-04-15,format-npm,defect,data-integrity,wrong-result,yes,fixed,high,"npm pull-through cache intermittently corrupts package integrity, build failures."
758,CLOSED,2026-04-16,2026-04-16,backup-dr,defect,error-handling,degraded,yes,fixed,med,"Backups fail: IO error 'provided value is too long' when setting path."
764,CLOSED,2026-04-16,2026-04-22,sbom-scanning,defect,config-error,degraded,yes,fixed,med,"DT integration: undocumented ALLOW_HTTP_INTEGRATIONS, and no SBOMs submitted after fix."
765,CLOSED,2026-04-16,2026-04-16,ci-cd-release,test,n/a,none,no,fixed,high,"Request for comprehensive integration test suite across all package formats."
779,CLOSED,2026-04-18,2026-04-19,format-conan,defect,format-compat,degraded,yes,fixed,high,"Conan 2 upload fails: /v1/ping capability probe endpoint missing, client aborts."
780,CLOSED,2026-04-18,2026-04-19,format-conan,defect,format-compat,degraded,yes,fixed,high,"Conan 2 install fails: recipe/package files-listing endpoints not mounted (404)."
787,CLOSED,2026-04-18,2026-04-21,config-deploy,question,n/a,none,unknown,not-a-bug,med,"User couldn't find admin.password file / health endpoint during docker setup; support."
794,CLOSED,2026-04-19,2026-04-22,auth-rbac-sso,defect,auth-logic,security,yes,fixed,high,"Permissions table CRUD exists but never enforced; any authed user bypasses rules."
796,CLOSED,2026-04-20,2026-04-20,format-oci-docker,defect,format-compat,wrong-result,unknown,fixed,high,"OCI tags/list returns empty after manifest push; should return tags array."
797,CLOSED,2026-04-20,2026-04-20,format-oci-docker,defect,format-compat,wrong-result,unknown,fixed,high,"OCI /v2/_catalog returns empty instead of listing repositories."
798,CLOSED,2026-04-20,2026-04-20,format-pypi,defect,format-compat,wrong-result,unknown,fixed,high,"PyPI simple index not normalizing names per PEP 503; mixed-case 404s."
799,CLOSED,2026-04-20,2026-04-20,format-npm,defect,format-compat,degraded,unknown,fixed,high,"npm version-specific metadata endpoint not implemented; returns error."
800,CLOSED,2026-04-20,2026-04-20,format-go,defect,format-compat,wrong-result,unknown,fixed,high,"Go/Terraform/Swift return 200 instead of 404 for nonexistent resources, breaks GOPROXY fallback."
801,CLOSED,2026-04-20,2026-04-20,format-terraform-conda,defect,format-compat,degraded,unknown,fixed,high,".conda v2 ZIP package upload fails via conda native endpoint; .tar.bz2 works."
802,CLOSED,2026-04-20,2026-04-20,format-swift-other,defect,validation-input,degraded,unknown,fixed,med,"HuggingFace 100+ char model name fails upload; likely path/column length limit."
803,CLOSED,2026-04-20,2026-04-20,format-conan,defect,format-compat,wrong-result,unknown,fixed,high,"Conan: each file upload creates separate revision; should be one revision per hash."
807,CLOSED,2026-04-20,2026-04-21,ci-cd-release,automated-report,n/a,none,no,fixed,high,"Weekly Trivy container scan: 78 CRITICAL/HIGH findings with fixes."
808,CLOSED,2026-04-20,2026-04-20,ci-cd-release,defect,build-ci,degraded,yes,fixed,high,"Cargo.toml version not bumped pre-tag; binaries self-report wrong version."
810,CLOSED,2026-04-20,2026-04-21,proxy-remote,defect,format-compat,degraded,yes,fixed,high,"Debian remote proxy 404s on .xz indices (Translation-en.xz), apt update fails."
811,CLOSED,2026-04-21,2026-04-21,format-oci-docker,defect,auth-logic,degraded,yes,fixed,high,"OCI blob HEAD returns 401 after successful /v2/token exchange, push never proceeds."
816,CLOSED,2026-04-21,2026-04-22,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Phase 1: implement PermissionService to resolve user/group permissions with cache."
817,CLOSED,2026-04-21,2026-04-22,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Phase 2: enforce permission rules in repo_visibility_middleware."
818,CLOSED,2026-04-21,2026-04-22,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Phase 3: add permission checks to admin-level API endpoints for delegated admin."
819,CLOSED,2026-04-21,2026-04-22,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Phase 4 permissions: UI enforcement_enabled flag, banner, docs."
831,CLOSED,2026-04-22,2026-04-23,ci-cd-release,automated-report,n/a,none,no,fixed,high,"Bot-filed nightly E2E test failure report; closed next day."
832,CLOSED,2026-04-22,2026-04-24,format-debian-rpm,defect,path-normalization,outage-oom,no,fixed,high,"Backend panics at startup on Debian dists_path route conflict (matchit)"
833,OPEN,2026-04-22,"",virtual-repo,feature,n/a,none,no,open-active,high,"Add virtual repo collation mode that merges members instead of first-hit-wins"
838,CLOSED,2026-04-23,2026-04-23,ci-cd-release,automated-report,n/a,none,unknown,fixed,high,"Nightly E2E tests failed, bot-filed report"
839,CLOSED,2026-04-23,2026-04-24,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"Virtual maven repo does not serve SNAPSHOT artifacts/metadata from members"
840,OPEN,2026-04-23,"",proxy-remote,feature,n/a,none,no,open-active,high,"Routing rules (regex allow/block) to limit which artifacts a remote repo serves"
850,CLOSED,2026-04-23,2026-04-25,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Add ability to disable guest access and force login"
853,CLOSED,2026-04-24,2026-04-24,ci-cd-release,automated-report,n/a,none,unknown,fixed,high,"Nightly E2E tests failed, bot-filed report"
856,CLOSED,2026-04-24,2026-04-25,migration-import,defect,data-integrity,degraded,yes,fixed,high,"Nexus Maven migration fails checksum check (sha1 vs sha256); disable flag ignored"
857,CLOSED,2026-04-24,2026-04-25,migration-import,defect,validation-input,wrong-result,yes,fixed,high,"Nexus migration assessment marks maven2/yum/raw as unsupported though they are supported"
867,OPEN,2026-04-25,"",auth-rbac-sso,feature,n/a,none,no,open-active,high,"Runtime admin-panel toggle for guest access with DB override over env var"
868,CLOSED,2026-04-25,2026-05-12,format-conan,enhancement,n/a,none,no,fixed,high,"Conan search should forward to remote upstream and aggregate virtual members"
870,CLOSED,2026-04-25,2026-06-01,sbom-scanning,defect,design-gap-other,wrong-result,yes,fixed,high,"SBOM returns fake/empty data (no licenses/components/deps); recurrence of #708"
871,CLOSED,2026-04-25,2026-04-26,sbom-scanning,defect,error-handling,degraded,yes,fixed,med,"Scans say queued but never appear in scans tab; storage object_store timeouts in logs"
876,CLOSED,2026-04-25,2026-05-12,format-conan,enhancement,n/a,none,no,fixed,high,"Extend virtual-repo fan-out to remaining Conan v2 metadata endpoints"
882,CLOSED,2026-04-26,2026-04-26,ci-cd-release,infra,n/a,none,no,fixed,high,"Release gate to fail if any image missing on ghcr.io or docker.io"
883,CLOSED,2026-04-26,2026-04-26,ci-cd-release,chore,n/a,none,no,fixed,high,"Require regression test on every fix PR via PR template and CONTRIBUTING"
884,CLOSED,2026-04-26,2026-04-26,ci-cd-release,infra,n/a,none,no,fixed,high,"Build :1.1-dev images on release/1.1.x pushes for backport validation"
885,CLOSED,2026-04-26,2026-04-29,format-debian-rpm,defect,path-normalization,outage-oom,yes,fixed,high,"v1.1.8 panics at startup from Debian matchit route conflict; backend never Ready"
886,CLOSED,2026-04-26,2026-05-08,ci-cd-release,release-task,n/a,none,no,fixed,high,"Tracking issue for stable v1.1.9 release with cherry-picks and acceptance gates"
887,CLOSED,2026-04-26,2026-05-08,ci-cd-release,release-task,n/a,none,no,fixed,high,"Establish 1.1.9-rc.N validation policy and document in CONTRIBUTING.md"
888,CLOSED,2026-04-26,2026-04-27,sbom-scanning,defect,error-handling,wrong-result,yes,fixed,high,"Docker image scans marked success even when Trivy pod not running"
889,CLOSED,2026-04-26,2026-05-08,api-routing,defect,design-gap-other,outage-oom,yes,fixed,high,"/readyz returns 503 when default admin password unchanged, causing k8s restart loop"
894,CLOSED,2026-04-26,2026-05-08,format-oci-docker,defect,auth-logic,wrong-result,yes,fixed,high,"POST /v2/token ignores form-encoded OAuth2 password grant creds, breaks docker push"
895,CLOSED,2026-04-26,2026-05-12,proxy-remote,feature,n/a,none,no,fixed,high,"Tee upstream proxy stream to client and storage simultaneously to avoid buffering/OOM"
901,CLOSED,2026-04-27,2026-05-30,sbom-scanning,automated-report,n/a,none,unknown,fixed,high,"Weekly container scan: 84 CRITICAL/HIGH findings in backend images"
902,CLOSED,2026-04-27,2026-05-04,sbom-scanning,defect,data-integrity,wrong-result,yes,fixed,high,"scanner_version and started_at never written; always null on completed scans"
903,CLOSED,2026-04-27,2026-05-11,sbom-scanning,defect,design-gap-other,wrong-result,yes,fixed,high,"SBOM only lists CVE-bearing components, not full dep tree; Trivy run without --list-all-pkgs"
905,CLOSED,2026-04-27,2026-05-03,ci-cd-release,defect,build-ci,degraded,yes,fixed,high,"Versioned image tags published to docker.io but not ghcr.io; helm pin hits ImagePullBackOff"
906,CLOSED,2026-04-27,2026-05-04,sbom-scanning,enhancement,n/a,none,no,fixed,high,"Return scan_result_ids from scan trigger so tests can pin to the created scan"
907,CLOSED,2026-04-27,2026-05-04,sbom-scanning,enhancement,n/a,none,no,fixed,high,"Surface is_reused/source_scan_id on ScanResponse to expose scan dedup/reuse provenance"
908,CLOSED,2026-04-27,2026-04-27,proxy-remote,defect,design-gap-other,wrong-result,yes,fixed,high,"cache_ttl_secs stored but never consumed by proxy/cache; silent no-op feature"
909,CLOSED,2026-04-27,2026-05-04,webhooks,defect,design-gap-other,wrong-result,yes,fixed,high,"webhook_deliveries table never INSERTed; no producer so webhooks never fire on events"
910,CLOSED,2026-04-27,2026-05-04,webhooks,defect,auth-logic,security,yes,fixed,high,"Webhook HMAC signature is hardcoded literal string, not real HMAC; deliveries unauthenticated"
911,CLOSED,2026-04-27,2026-04-28,proxy-remote,defect,inv-cache-correctness,wrong-result,yes,fixed,high,"GET cache-ttl default 3600 diverges 24x from proxy actual default 86400; reported value wrong"
912,CLOSED,2026-04-27,2026-04-28,virtual-repo,defect,concurrency-race,wrong-result,yes,fixed,high,"update_virtual_members runs per-member UPDATEs without a transaction; concurrent reorders interleave"
913,CLOSED,2026-04-27,2026-04-28,virtual-repo,defect,auth-logic,security,yes,fixed,med,"Virtual member endpoints check parent access only, not member repo access"
914,CLOSED,2026-04-27,2026-04-28,sbom-scanning,defect,error-handling,cosmetic,yes,fixed,high,"list_findings OpenAPI advertises 404 that handler never produces; spec/handler mismatch"
915,CLOSED,2026-04-27,2026-04-28,virtual-repo,defect,validation-input,outage-oom,yes,fixed,high,"Virtual repos accept self-membership/cycles; resolution traversal can infinite-loop/stack overflow"
916,CLOSED,2026-04-27,2026-04-28,virtual-repo,defect,error-handling,degraded,yes,fixed,high,"Duplicate add_virtual_member returns generic 500 instead of 409 Conflict on unique violation"
917,CLOSED,2026-04-27,2026-04-28,proxy-remote,defect,validation-input,degraded,yes,fixed,high,"cache-ttl PUT accepted on local/virtual repos creating inert dead state; should reject"
918,CLOSED,2026-04-27,2026-04-28,sbom-scanning,defect,error-handling,degraded,yes,fixed,high,"trigger_scan returns 500 for 'scanner not configured'; should be 503; misleads alerting"
919,CLOSED,2026-04-27,2026-05-10,webhooks,feature,n/a,none,no,fixed,high,"Epic: Webhooks v2 wire contract & resilience consolidation onto System A"
920,CLOSED,2026-04-27,2026-05-11,webhooks,chore,n/a,none,no,fixed,high,"Epic: remove deprecated System B webhook/notification path in v1.2.0"
921,OPEN,2026-04-27,"",webhooks,feature,n/a,none,no,open-active,high,"Epic: asymmetric webhook signing (Ed25519/RSA) via JWKS for v1.3.0"
922,CLOSED,2026-04-27,2026-05-08,webhooks,security-hardening,n/a,none,no,fixed,high,"Webhooks v2: encrypted-at-rest secrets + write-once display + rotation API"
923,CLOSED,2026-04-27,2026-05-10,webhooks,feature,n/a,none,no,fixed,high,"Webhooks v2: real HMAC-SHA256 signing with multi-value X-ArtifactKeeper-Signature header"
924,CLOSED,2026-04-27,2026-04-30,webhooks,feature,n/a,none,no,fixed,high,"Webhooks v2: wire EventBus producer to INSERT webhook_deliveries (the missing producer)"
925,CLOSED,2026-04-27,2026-05-10,webhooks,enhancement,n/a,none,no,fixed,high,"Webhooks v2: add Delivery UUID, Event, Event-Version headers + per-webhook schema version"
926,CLOSED,2026-04-27,2026-05-10,webhooks,enhancement,n/a,none,no,fixed,high,"Webhooks v2: 12-attempt jittered retry schedule + auto-disable + owner notification"
927,CLOSED,2026-04-27,2026-05-08,webhooks,feature,n/a,none,no,fixed,high,"Webhooks v2: System B deprecation headers + one-time migration of notification subs to webhooks"
928,CLOSED,2026-04-27,2026-05-10,docs,docs,n/a,none,no,fixed,high,"Webhooks v2 docs + sample receivers (Python/Node/Go) + CHANGELOG"
929,CLOSED,2026-04-27,2026-04-30,auth-rbac-sso,security-hardening,n/a,none,no,fixed,high,"Implement refresh-token rotation (invalidate-on-use) to prevent indefinite reuse of leaked tokens"
930,CLOSED,2026-04-27,2026-04-30,auth-rbac-sso,feature,n/a,none,no,fixed,high,"Add public consumer endpoint accepting ?ticket= query-param auth for download tickets"
931,CLOSED,2026-04-27,2026-04-30,auth-rbac-sso,security-hardening,n/a,none,no,fixed,high,"Flush API-token cache immediately on user is_active=false to close 5min revocation gap"
948,CLOSED,2026-04-27,2026-05-09,webhooks,enhancement,n/a,none,no,fixed,high,"Thread explicit repository_id through DomainEvent so repo-scoped non-repo event subs fire"
949,CLOSED,2026-04-27,2026-05-12,webhooks,enhancement,n/a,none,no,fixed,high,"Webhook producer perf: batch N+1 INSERT, add GIN index on webhooks.events"
950,OPEN,2026-04-27,"",config-deploy,chore,n/a,none,no,open-active,high,"IaC: provision AK_WEBHOOK_SECRET_KEY in Helm/Terraform/ArgoCD before staging deploy"
951,CLOSED,2026-04-27,2026-05-12,webhooks,refactor,n/a,none,no,fixed,high,"Webhook test cleanup followups: middleware location, pub-crate consts, env override, map location"
952,CLOSED,2026-04-27,2026-05-12,webhooks,test,n/a,none,no,fixed,high,"Deferred webhook v2 integration tests needing embedded-Postgres harness"
957,CLOSED,2026-04-28,2026-04-28,format-debian-rpm,defect,error-handling,outage-oom,yes,fixed,high,"Backend panics on boot: conflicting axum route registration in debian.rs, container restart loop"
958,CLOSED,2026-04-28,2026-04-28,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"virtual maven repo doesn't list metadata (pom/sources/sha1) for local member artifacts though jar is served"
961,CLOSED,2026-04-28,2026-05-11,sbom-scanning,defect,validation-input,wrong-result,yes,fixed,high,"all scanners run on every artifact even when repo/artifact type unsupported, skewing results"
962,CLOSED,2026-04-28,2026-05-12,sbom-scanning,defect,db-schema-query,wrong-result,yes,fixed,high,"security dashboard sums vuln counts across all scans instead of latest scan per artifact"
963,CLOSED,2026-04-28,2026-05-11,sbom-scanning,defect,error-handling,wrong-result,yes,fixed,high,"DT auth/connection failure fails open showing 0 dependencies instead of surfacing an error"
964,CLOSED,2026-04-28,2026-05-09,docs,docs,n/a,none,no,fixed,high,"README contradicts itself: L97 diagram shows Meilisearch, L278 says OpenSearch"
965,CLOSED,2026-04-28,2026-05-11,sbom-scanning,defect,error-handling,wrong-result,yes,fixed,high,"SBOM not submitted to Dependency-Track when Grype finds 0 findings; submission gated on findings with package info"
966,CLOSED,2026-04-28,2026-05-11,sbom-scanning,defect,format-compat,wrong-result,yes,fixed,high,"Grype finds 0 vulns on container images while Trivy finds hundreds; image layers not extracted for Grype"
968,OPEN,2026-04-29,"",virtual-repo,feature,n/a,none,no,open-active,high,"request to allow publishing to a local member repo through a virtual group entry point"
969,CLOSED,2026-04-29,2026-05-09,rate-limiting,enhancement,n/a,none,no,fixed,high,"add trusted internal CIDR allowlist to exempt internal callers from auth rate limiter"
973,CLOSED,2026-04-29,2026-05-12,virtual-repo,defect,design-gap-other,wrong-result,yes,fixed,high,"hex virtual /names and /versions return [] when virtual contains remote pull-through member; mix deps.get fails"
976,CLOSED,2026-04-30,2026-05-12,proxy-remote,enhancement,n/a,none,no,fixed,high,"request to allow private/internal IP upstreams for remote repositories"
978,CLOSED,2026-04-30,2026-05-05,sbom-scanning,defect,upstream-dependency,degraded,yes,fixed,high,"dtrack-init reads apiKeys[0].key but DT 4.x masks existing keys, so init cannot provision API key"
981,CLOSED,2026-04-30,2026-05-12,storage-cas,defect,config-error,degraded,yes,fixed,low,"backend cannot connect to ceph rgw S3; object_store timeouts though reachable from container"
986,CLOSED,2026-04-30,2026-05-08,format-conan,chore,n/a,none,yes,fixed,high,"backport Conan correctness fixes #869/#873/#875 to release/1.1.x"
990,CLOSED,2026-04-30,2026-05-09,format-conan,defect,error-handling,wrong-result,yes,fixed,high,"Conan returns 500 for upload to non-existent repo, /v2/ping ignores repo, 500 on long path"
991,CLOSED,2026-04-30,2026-05-12,auth-rbac-sso,defect,performance-scaling,degraded,yes,fixed,med,"sustained mixed workload error rate 33-54% on v1.1-dev; bcrypt auth path saturates CPU under load"
994,CLOSED,2026-05-01,2026-05-11,sbom-scanning,defect,validation-input,wrong-result,yes,fixed,med,"scanner returns findings_count=0 in 3ms on known-vulnerable fixture; is_applicable rejects format silently"
999,CLOSED,2026-05-02,2026-05-08,format-generic,question,n/a,none,no,not-a-bug,high,"user asks how to add raw repo like nexus; support/config question"
1000,CLOSED,2026-05-02,2026-05-04,api-routing,security-hardening,validation-input,wrong-result,yes,fixed,high,"extend LIKE-wildcard escaping to medium-severity package handlers to prevent wrong-artifact serving"
1001,CLOSED,2026-05-03,2026-05-03,sbom-scanning,defect,config-error,degraded,yes,fixed,high,"Grype vuln DB not pre-seeded in Dockerfile; first scan fails on egress-restricted runners"
1007,CLOSED,2026-05-03,2026-05-04,format-oci-docker,defect,config-error,degraded,yes,fixed,med,"docker login via web frontend (port 3000) returns 401; web module does not forward /v2 auth to backend"
1008,CLOSED,2026-05-03,2026-05-08,api-routing,defect,validation-input,wrong-result,yes,fixed,high,"/api/v1/users/me fails because 'me' is parsed as UUID; no me-alias route exists"
1009,CLOSED,2026-05-03,2026-05-13,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"use forced password reset flow for first admin login instead of digging in container files"
1010,CLOSED,2026-05-03,2026-05-08,auth-rbac-sso,defect,auth-logic,wrong-result,yes,fixed,high,"password change endpoint requires admin, ignores ownership so non-admins cannot change own password"
1012,CLOSED,2026-05-03,2026-05-09,sbom-scanning,enhancement,n/a,none,no,fixed,high,"OnceCell caches None forever for scanner version; add TTL-backed cell to retry after transient failure"
1013,CLOSED,2026-05-03,2026-05-09,sbom-scanning,test,n/a,none,no,fixed,high,"add unit tests for OpenscapScanner::probe_version parse paths"
1014,CLOSED,2026-05-03,2026-05-09,sbom-scanning,security-hardening,n/a,none,no,fixed,high,"bound stdout capture in capture_cli_version to prevent OOM from malicious binary on PATH"
1015,CLOSED,2026-05-03,2026-05-09,sbom-scanning,feature,n/a,none,no,fixed,high,"add janitor to reap stuck 'running' scan_results rows after worker crash"
